Form,What's your cohort?,Hiring Company,Job Title,Salary,"Job location (City, Country)","Date you first got a job offer, coming out of Makers Academy","How many companies did you interview with, before you got your first offer?",Date you accepted this job offer,Date you start this job you've accepted,"How many companies did you interview with, before you got this offer that you're accepting?",What tech will you be working with?,How did you get this job?,Tell us more,What did we do well?,How could careers support at Makers be improved?,How likely are you to recommend the Makers Academy Careers Team to future cohorts?,Conversion Date,Conversion Title,Contact ID,NPS
CongratsForm533,September 2021,ClearScore,Junior Frontend Developer,36750,London,08/03/2022,2,14/03/2022,19/04/2022,3,"TypeScript, React (Next.js, Gatsby), React Testing Library",MA Hiring Partner,,"The number of jobs on hub was great, and the covered a wide range of positions and tech. In general helped make the process a lot less overwhelming, and seeing how often people got hired was often inspiring.","A bit more transparency around the hub application would be nice. I did eventually find Becks' guide buried in the career cache which was extremely helpful, but it was hard to find and many other people I spoke to were under the assumption that we would be writing directly to the companies, and that companies would have looked at our GitHubs themselves. With the hub applications in general I think they are biased against younger people like myself with little experience, as that seems to be the main way to stand out from other hub applications. I knew I didn't have much experience going in to the course so thought focusing on improving my coding skills, learning the most technologies, and doing the best projects would help set me apart. Unfortunately I feel like this wasn't the case, and it was research into a company and networking at the careers cache that probably made the difference, so I feel frustrated that my hard work hasn't necessarily been rewarded. I bring this up because I really struggled to even get replies from companies when doing external applications (my CV was mostly projects with little experience), so I felt like hub applications would be my best chance. This was a big problem for me when applying as so many jobs wanted graduates or soon to be graduates;from an employers perspective, why hire someone young without a STEM degree who also doesn't have a wealth of experience from a previous career to offer instead? I would have appreciated some more ways so stand out based on technical ability, or at least see some evidence that it was taken into account when shortlisting.",7,2022-03-15 16:10:02,Form,38283151,Passive
CongratsForm532,May 21,ClearScore,Junior iOS Engineer,36750,"London, UK",14/03/2022,7,14/03/2022,19/04/2022,7,"Swift, Objective-C, Xcode",MA Hiring Partner,,Providing a constant stream of opportunities through hiring partners,Responses from coaches varies a lot. More transparency would have been appreciated during times of uncertainty and being honest if a company is ghosting us,8,2022-03-15 14:26:50,Form,29196451,Passive
CongratsForm531,December 2021,Immersive Labs,Junior Back-End Developer,30000,Bristol,10/03/2022,-3,10/03/2022,28/03/2022,1,Ruby,Personal contact/referral,,Becks gave me advice on my CV the day I messaged her telling her I was applying.,Not sure.,10,2022-03-15 13:44:40,Form,29251451,Promoter
CongratsForm530,December 2019,Miesh,Full stack developer,25000,London,11/03/2022,6,11/03/2022,14/03/2022,6,"React.js/Native, Node.js, MongoDB, Ruby on Rails.",MA Hiring Partner,,Providing support - kept me motivated.,N/A,9,2022-03-15 09:53:29,Form,16955201,Promoter
CongratsForm529,July 2021,Smarsh,Software Delivery Engineer,30000,London/UK - Remote,28/02/2022,3,08/03/2022,28/03/2022,3,Devops - Java Springboot - Docker - Kubernetes,MA Hiring Partner,,The process from applying to interview stage and the communication till that stage was very smooth.,The feedback that you give on not being shortlisted needs to be improved. A lot of the jobs I know for a fact that I can be shortlisted for but clearly there is something with my application that has not stood out. For this reason feedback becomes so important. Unfortunately the feedback i received on majority of my application rejections was either non existent or not relevant.,10,2022-03-14 14:05:30,Form,31223701,Promoter
CongratsForm528,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2022-03-14 10:40:24,,,
CongratsForm527,May 2021,ClearScore,Junior Android Developer,36750,London,11/03/2022,10,11/03/2022,11/03/2022,10,"Kotlin, React Native",MA Hiring Partner,,The large amount of hiring partner opportunities recently and the support to succeed.,n/a,9,2022-03-11 19:54:56,Form,30060251,Promoter
CongratsForm526,July 2021,EASOL,Frontend Success Engineer,45000,"London, UK",10/03/2022,9,11/03/2022,21/03/2022,10,"JavaScript & Ruby/Rails (even though it's frontend in the job title, they've agreed 3/2 split front/back)",Other,cord.co I posted my candidate profile and was approached directly by the company.,"Candida was an amazing coach, her CV help got me applying quickly and her emotional support was much appreciated throughout the process. Also Alice's guidance in advance of the live tech test I had to do for this role, I had a 2/10 confidence before speaking with her, 5/10 immediately afterwards, and 7/10 after doing some prep that we discussed - they said I aced it so thanks!","Only that there could be more roles through hub for the amount of Makers candidates, but I appreciate the difficulties in getting hiring partners.",9,2022-03-11 18:08:05,Form,33730701,Promoter
CongratsForm525,Aug 2021,EngineerBetter,Software Engineer,35000,"London, UK",18/02/2022,4,18/02/2022,11/04/2022,4,"Ability in one of Golang, Ruby or Java, with a desire to learn the others. Experience writing tests in Ginkgo, Rspec, LambdaBehave or any other BDD framework. Kubernetes, Cloud Foundry",Job Board,,There was lots of support at the beginning to attend the post course careers workshops,n/a,10,2022-03-11 12:34:48,Form,34198551,Promoter
CongratsForm524,October 2021,ClearScore,Backend Developer,36750,London,11/03/2022,1,11/03/2022,04/04/2022,1,"Scala, AWS",MA Hiring Partner,,The screening process was really good I felt like it helped eliminate the long 3/4 step processes when it comes to joining new companies. The constant support from coaches and the prep session we had before the assessment day was amazing.,For now nothing comes to mind the lines of communication were so clear I never felt like I was in the dark I have to thank my coach Candida for that.,10,2022-03-11 11:15:56,Form,32577851,Promoter
CongratsForm523,August 2021,Credera UK,DevOps Apprentice,25000,"Manchester, UK",16/12/2021,1,16/12/2021,04/01/2022,1,DevOps,MA Hiring Partner,,really great initial info and support,I got my job quite quickly (a month after finishing) and did let my coach know but I don't think that information was passed on to anyone else/ I never received this form/any other leaving info,10,2022-03-11 11:02:00,Form,3321601,Promoter
CongratsForm522,November 2021,AdSignal,Junior Developer,30000,remote (UK),08/03/2022,6,09/03/2022,14/03/2022,1,"Ruby, Ruby on Rails, HTML, CSS + Go & python may develop as they get more into AI/ML (finger crossed 🤩🤞)",MA Hiring Partner,,it was great I met them (ceo and senior dev/ makers alumini) at the carreer fair on the 24th of february,"all good with me, I got lucky to meet with Candida very early in the process and then Alice responded to my interview+tech test alert ! they are amazing I wouldn't have made it without them ! The only thing was I know some of my cohort peeps had to wait longer to meet with their coach this could maybe make a difference",10,2022-03-10 17:36:36,Form,,Promoter
CongratsForm521,July 2021,Capgemini,Cloud Native Engineer,30500,Remote UK,26/11/2021,1,26/11/2021,28/11/2021,1,"Microsoft stack: .Net, c#",MA Hiring Partner,,"Calls with Candida were very helpful, CV/cover letter feedback was great, felt a sense of optimism from the careers team",I thought the support was really good,9,2022-03-01 16:31:09,Form,20819201,Promoter
CongratsForm520,June 2021,City Electrical Factors,Junior Support Developer,28000,Fully remote - Offices based in Durham,18/02/2022,1,18/02/2022,21/03/2022,9,"Ruby On Rails, AWS",Recruiter,,Thorough support throughout the process,Perhaps more people like Toby/Candida as their schedules get full quite quickly and sometimes you have to wait a while between sessions,9,2022-03-01 10:07:53,Form,32186651,Promoter
CongratsForm519,August 2021,Exceedra,Junior developer,38000,London,11/02/2022,1,11/02/2022,07/03/2022,1,"Angular, karma, scss,",MA Hiring Partner,,"Amazing workshops on how tell our story,  and the impostor talk was absolutely powerful for me. Candida has been an amazing coach. Talk to her gave me the focus to set my steps","The support was very good, I don't have a real suggestion",10,2022-02-28 15:33:23,Form,21978551,Promoter
CongratsForm518,Sept 2021,BCB Group,SRE Improver,37.5,London,18/02/2022,1,21/02/2022,14/03/2022,2,"K8, docker, terraform",MA Hiring Partner,,Good division of labour among Makers staff,"Information was dotted around different channels, workspaces, DMs",9,2022-02-28 14:51:19,Form,30822051,Promoter
CongratsForm517,March 2021,Capgemini,Software Developer,30500,"Remote for now (officially Worthing, UK)",16/12/2021,1,21/02/2022,07/03/2022,2,"Scala, Play framework, Akka, SBT, JSON, MongoDB, Jenkins, AWS Cloud",MA Hiring Partner,,"Career coaches were great, really supportive and helpful, both with practical things like writing CVs and the emotional side of things around the course and job hunt. It was also great to feel like I could go at my own pace, but help/support was available if I wanted it. The consolidator and applier workshops (and interview prep) have also been great.","I think some changed have already been made to improve on this, but there were some points when coach availability was quite low and it was hard to get a coaching session. Also, within the consolidator workshops, the code clubs that are happening nowadays are good too, but it would be great to bring back some of the one-off workshops on specific topics (some good ones I've attended focused on front-end development, domain modelling) - particularly great for people just starting out with the job hunt or getting back into things after a break, who might not have any full-on projects to bring but could do with a boost. Also, some conflicting advice with the info on hub applications: the advice on the GitHub repo says to address each aspect of the job description and give examples, but the sample applications are quite short and not very detailed, and it can be confusing to reconcile the two.",10,2022-02-28 13:41:57,Form,,Promoter
CongratsForm516,November 2021,Deloitte,Front end developer,35000,London,16/12/2021,0,16/12/2021,07/03/2022,0,"HTML, Javascript, React",Personal contact/referral,,Gave me confidence and showed me key testing strategies that were important to have knowledge of in my interview,Unsure,10,2022-02-28 11:52:30,Form,17091551,Promoter
CongratsForm515,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2022-02-28 11:39:06,,,
CongratsForm514,October 2021,Kindred Group plc,Software Engineer Full Stack JavaScript,45000,Gibraltar,02/02/2022,2,02/02/2022,28/03/2022,2,"JavaScript ES6, Node.js, React.js",Apply direct on company website,,Taught me to overcome my fear of failure and that I CAN do it,"Generally it's been fantastic, although the dismissive attitude of one member of staff left me somewhat disheartened for a period of time. Everyone else was absolutely fantastic though and a real pleasure to learn from/work towards achieving a job with! I feel that the negativeness I received from the one person is due to my bespoke set of circumstances being based outside of the mainland UK and me asking questions to them that weren't 'easy' to answer made them react as if I was putting them out and asking something unreasonable. But overall the careers team were amazing to me with a special shoutout to Candida, Alice and Ryan who all spoke with me on a one-to-one basis at least once and really helped me out!",8,2022-02-28 11:32:19,Form,29110601,Passive
CongratsForm513,Aug 21,Capgemini,Junior developer,30.5,London,21/02/2022,1,21/02/2022,07/03/2022,1,Scala,MA Hiring Partner,,The support with CV and interviews was great.,Overall it was a good experiance. I would of liked a few more jobs on the Hub as I found when I applied externally I got nothing back,8,2022-02-28 10:09:25,Form,26721551,Passive
CongratsForm512,Edward Martin,BCB Group,Full Stack Engineer,37499,Berkhamsted,04/11/1993,1,15/01/2022,17/01/2022,1,Edward,Job Board,,"Everything, I couldn't be more happy with Makers",I don't think it can be - it's spot on,10,2022-02-28 10:04:12,Form,35871551,Promoter
CongratsForm511,September 2021,Capgemini,Junior Software Developer,30500,Worthing,18/02/2022,1,18/02/2022,07/03/2022,1,Scala,MA Hiring Partner,,"You were genuine, supportive, really nice people to offload to at a stressful period.",The only thing that could be better is to start at least a preliminary chat about what the job hunting entails before the end of the cohort.,10,2022-02-25 19:51:51,Form,,Promoter
CongratsForm510,October 2021,Makers Academy - Capgemini Contract,Software Developer,30500,remote,18/02/2022,2,18/02/2022,07/03/2022,2,Scala,MA Hiring Partner,,amount of support resources that is initially given,Send us this form when they change the channel from name-surname to _name-surname,7,2022-02-25 16:10:01,Form,47647951,Passive
CongratsForm509,October 2021,Heydoc,Junior Developer,40000,London,17/02/2022,2,21/02/2022,28/02/2022,2,"JavaScript ES6, TypeScript, React.js, Node.js, Mobx, Webpack, AWS, Bitbucket, MongoDB",Apply direct on company website,,"I found out about the job through a Makers monthly jobhunter email, and I felt confident going into the interview because of all the practice I had had with reviews.","When the career-support began, it wasn't clear to me if I was an applier or a consolidator. This was because the metric for gauging this was not made clear (i.e. we were told it depended on our level of comfort with the Chitter challenge, but it wasn't clear A) How much of the Chitter challenge we needed t be comfortable with, or B) What it meant to be ""comfortable""). This could be clarified better in the future.",9,2022-02-25 09:30:36,Form,38982251,Promoter
CongratsForm508,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2022-02-24 10:50:33,,,
CongratsForm507,,BCB Group,Full stack engineer,37500,London,14/12/2021,1,14/12/2021,17/01/2021,1,"Typescript, Angular, NestJS",MA Hiring Partner,,"I found the training before starting the job incredibly helpful to get comfortable and familiarise myself with the tech stack. Really love that we are assigned a careers coach to check in with, always helpful in prepping for interview in my case it was helpful to clarify how I was feeling towards my application and handle stress levels",I think the careers support is great at Makers and offers a variety of things to assist with during the job hunt. The only thing I can think of changing would be more flexibility to book in more frequent sessions than every two weeks,10,2022-02-21 14:55:36,Form,24504501,Promoter
CongratsForm506,,EngineerBetter,Software Engineer,35000,London,17/02/2022,2,21/02/2022,11/04/2022,2,"Kubernetes, Cloud Foundry, Concourse CI, Ruby, Golang, Bash, AWS, GCP, Terraform",MA Hiring Partner,,"The careers team created incredible opportunities and introductions to a variety of tech companies, which helped make that jump in mindset from student to junior developer, and give an insight to a new industry. Candida as my career coach was incredibly helpful and kind. I really didn't expect so much presence and engagement after the course. Enjoyed Becks' newsletter too. Found it all motivational!","The team is wonderful and friendly. As a consolidator for the first month, I missed quite a few of the first 4 weeks of workshops after finishing the course. In retrospect, I would have joined them (without feeling totally ready to apply), to help me get in the career applying mode.",10,2022-02-21 09:18:49,Form,27431601,Promoter
CongratsForm505,,Surfboard Technology Limited,Software Engineer,40000,London,17/02/2022,1,17/02/2022,21/02/2022,1,"React, TypeScript, NestJS",Personal contact/referral,,Prepared me for tech tests,I feel like the careers part should be introduced in the final couple of weeks of the course rather than after. Also I think everyone should have a mandatory code review during the 12 weeks.,8,2022-02-18 15:24:06,Form,35672751,Passive
CongratsForm504,,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2022-02-17 15:14:50,,,
CongratsForm503,,Exceedra by Telus Agriculture,Junior Developer,38000,"London, UK",14/02/2022,3,14/02/2022,28/02/2022,3,"Front End: Angular, SCSS, Karma, Micro Front Ends",MA Hiring Partner,,Everything,Please just make sure people understand how important it is to follow the instructions you provide and how much of a difference it makes for the success of the whole process.,10,2022-02-16 14:47:17,Form,34772801,Promoter
CongratsForm502,,Fnality,Techops Engineer,28000,London,01/02/2022,-1,02/02/2022,04/04/2022,1,N/A,Other,I was headhunted and I interviewed,Candida provided great support,N/A,10,2022-02-15 12:30:33,Form,30644151,Promoter
CongratsForm501,,Experian,Junior Software Engineer,30000,Nottingham,27/01/2022,2,11/02/2022,21/02/2022,2,C# dotnet framework,Job Board,,Josué was amazing in helping me write the cover letter (one job weds) and helping me prepare for the interview.,"Even though Josué was amazing, I think that a rotating member of staff should be assigned to one job weds. I got amazingly detailed feedback from Kay the first time I submitted a cover letter, think having multiple opinions over time helps.",10,2022-02-14 16:11:45,Form,27033151,Promoter
CongratsForm500,,Eigen Technologies,Jr Software Engineer,0,London / WFH,10/02/2022,6,10/02/2022,28/02/2022,6,"Python, Django, React",Other,Hired.com,"The support I got from Becks in the last 4/5 months was priceless, I don't think I would've made it without her help keeping me motivated and moving forwards.","I was lucky to have Becks support daily, it would be good if you could give this support to more people that are finding the whole process more challenging like myself.",10,2022-02-14 10:07:34,Form,13777101,Promoter
CongratsForm499,,WTC Consulting,Junior Software Developer,26000,Bristol,20/01/2022,2,25/01/2022,10/02/2022,2,"Vue, Express, Mongodb, Node.js",Other,I initially got an internship with them through a contact and then got the job from the internship,1-1 coaching sessions,Nothing I thought it was great!,10,2022-02-13 17:50:49,Form,32321601,Promoter
CongratsForm498,,FundApps,Software Engineer,37000,London,02/05/2021,0,04/05/2021,05/10/2021,0,"Typescript, React, Jest, Cypress",Other,I was already working at this company in the clients team and when I told them I wanted to switch they offered me a job in engineering.,Super supportive and really helpful advice,I cannot think of any room for improvement,10,2022-02-13 08:50:10,Form,34110051,Promoter
CongratsForm497,,Hubblehq,Junior product engineer,40000,London,11/02/2022,12,11/02/2022,20/02/2022,12,Next.js python react JavaScript,Apply direct on company website,,Support from the coaches,It has been good,10,2022-02-11 17:22:54,Form,26945951,Promoter
CongratsForm496,,Contact,Associate Software Engineer,38000,London,10/02/2022,3,11/02/2022,28/02/2022,3,"React/Typescript, Ruby/Rails/GraphQL, PostgresQL",Other,Otta,My coach Candida was very supportive and filled me with confidence going into my interviews,Maybe a few more in person events (I appreciate it didn't happen due to covid),9,2022-02-11 16:39:32,Form,35696351,Promoter
CongratsForm495,,Zzish,Junior Frontend Developer,35000,London,04/02/2022,3,04/02/2022,10/02/2022,1,"React, GraphQL",Apply direct on company website,,Checking in on us and keeping morale high!,The emails from Becks were really helpful (what's going on this week etc)... would have been great if they were more regular!,10,2022-02-11 10:36:57,Form,35153951,Promoter
CongratsForm494,,EngineerBetter,Junior Software Engineer,35000,London,10/02/2022,2,10/02/2022,27/03/2022,2,"Golang, Cloud Foundry, Kubernetes",MA Hiring Partner,,Helped prepare for the interview process with alert forms.,"Give more classes on writing effective STAR applications, that are linked to company values.",9,2022-02-10 15:25:37,Form,34005201,Promoter
CongratsForm493,,Miesch.io,Junior Full Stack JavaScript Developer,250000,"Milton Keynes, Remote",31/01/2021,2,03/02/2022,14/02/2022,2,"MERN, Ruby on Rails",MA Hiring Partner,,Great support/guidance through meetings with advisors providing both application and well being advice.,N/A,9,2022-02-09 16:22:57,Form,33602551,Promoter
CongratsForm492,,Miesh.io,Junior Full Stack Developer,24998,Remote,25/01/2022,4,28/01/2022,14/02/2022,4,"React, Express, Node, Mongo DB",MA Hiring Partner,,"Support post course was AMAZING, always available for a chat and the interview alerts were **super** useful","I personally didn't find huge amounts of utility in routinely attending the workshops (outside of the first few times), instead finding going through Makers existing written resources were more useful for revisiting and Toby was more helpful in terms of CV feedback etc. That's a very personal outcome though, I'm aware others find the workshops extremely useful.",10,2022-02-08 20:53:44,Form,35797851,Promoter
CongratsForm491,,Springer Nature Limited,Developer,33000,"London, England",18/01/2022,1,18/01/2022,21/03/2022,1,Kotlin,MA Hiring Partner,,"The resources provided was useful. The coaches were very accommodating to my needs that I could only meet during lunchtime/ breaks and get CV feedback through slack since I was working full-time. Also I like to thank Toby for checking in on me, not only on job searching but on wellbeing since I was starting to tire out from juggling with job searching, consolidating, working, looking after 2 children",I didn't manage to attend the job hunting workshops and had to scroll in the messages on slack to see what resources was provided. Maybe have these resources pinned for easier access,9,2022-02-07 21:49:39,Form,,Promoter
CongratsForm490,,Switchd,Developer,35000,"London, England",24/01/2022,6,31/01/2022,10/02/2022,6,"PHP, AWS, JS",MA Hiring Partner,,The lunch time talks were really helpful,More jobs,7,2022-02-02 10:24:28,Form,27932651,Passive
CongratsForm489,,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2022-02-01 11:54:23,,,
CongratsForm488,,Limio,Integration Engineer,38000,London,21/01/2022,4,25/01/2022,31/01/2022,4,React,MA Hiring Partner,,"CV reviews, cover letter reviews were useful",Improve quality of the talks that hiring partners give by providing better guidance / structure for their talks.,9,2022-01-29 08:53:52,Form,36071801,Promoter
CongratsForm487,,Springer Nature,Developer,33000,London,17/01/2022,3,24/01/2022,04/02/2022,4,Kotlin,MA Hiring Partner,,Excellent 1 to 1 support,Slightly more activities and workshops to keep people busy and motivated would have been good,10,2022-01-27 15:50:18,Form,28061251,Promoter
CongratsForm486,,Hullabalook,Software Engineer,32000,London,25/01/2021,-3,25/01/2021,01/02/2021,0,Vue and JS (FE) and Python (BE),Job Board,,Teached me :),I personally didn't use careers support as well as I was doing my own searching - but the workshops and checkins and chats with coach were good,8,2022-01-27 15:30:57,Form,31791851,Passive
CongratsForm485,,ServiceNow,Technical Support Engineer,53000,"Dublin, Ireland",12/12/2021,5,15/12/2021,20/12/2021,5,"JavaScript, Java, SQL",Apply direct on company website,,Gave plenty examples of past jobs and experience at makers,Not sure,8,2022-01-20 09:46:31,Form,8616201,Passive
CongratsForm484,,The Digital Bench,Junior Front End Developer,32500,London,10/01/2022,3,12/01/2022,31/01/2022,3,"React, Javascript, Typescript, Redux, SASS",Other,Someone passed my CV and they contacted me,I had amazing support from Toby and I love the lunchtime talks!,I have no idea at the moment,10,2022-01-12 15:06:19,Form,37804651,Promoter
CongratsForm483,,JH,Junior Developer,30000,Remote,17/12/2021,4,22/12/2021,10/01/2022,4,"Javascript, Typescript, React, Python, PHP",Job Board,,Preparing us for interviews and tech tests,Not sure I can think of anything. For me it went rather smoothly.,9,2022-01-04 13:54:51,Form,672201,Promoter
CongratsForm482,,Credera,Software engineer,25000,London,08/12/2021,6,13/12/2021,04/01/2022,6,N/A,MA Hiring Partner,,Follow ups,N/A,10,2021-12-15 17:43:45,Form,44247501,Promoter
CongratsForm481,,Kin + Carta,Associate Back End Engineer,37.5,London,14/12/2021,3,14/12/2021,04/01/2022,3,"Javascript, possibly Java too",MA Hiring Partner,,I met them in the Makers Career Fair and I got support from Ben for my tech interview,"I received all the support i needed: I had periodic meetings with Candida, I had tech meetings with Ryan and Ben, and support on my application by Ben. I couldn't ask for more.",10,2021-12-15 15:27:24,Form,31405201,Promoter
CongratsForm480,,Workforce.com,Junior Software Engineer.,31000,London,14/12/2021,2,15/12/2021,04/01/2022,2,"Ruby, Ruby on Rails, JavaScript, React",MA Hiring Partner,,"I think I was quite lucky, I met them at the career fair the week after our final presentation and they were the first application I made. The tech test was reasonable and the interviews I've had were not technical at all, it was mostly about fit in the company I guess.","I'm not sure, I followed the instructions and always received very quick support when it came to prepare for the tech test and the interviews, it all went very smoothly for me.",8,2021-12-15 12:13:42,Form,36443601,Passive
CongratsForm479,,Kin + Carta,Associate Backend Engineer,37500,London,07/12/2021,1,09/12/2021,04/01/2022,1,"Java, .net node - varied",MA Hiring Partner,,Would have never heard of them/thought to apply to them,More help on tech test/interview stuff,10,2021-12-09 21:36:22,Form,36318251,Promoter
CongratsForm478,,Deloitte,Contractore - Junior Software Engineer,31998,LONDON,27/09/2021,6,19/10/2021,11/11/2021,4,"UI/UX, Angular, typescript, Python, AWS",MA Hiring Partner,,Makers provided many opportunities and very useful advice on various stages of the job hunting process.,encouraging job hunting alumnis to collaborate more between each other. Potentially by tech/specialisation they are interested in pursuing,10,2021-12-08 15:25:33,Form,29106101,Promoter
CongratsForm477,,Kin + Carter,Associate Back End Engineer,37500,London,08/12/2021,1,08/12/2021,04/01/2022,1,Varied.,MA Hiring Partner,,"Incredible support through the whole process - the post-course careers support has been amazing, and needs promoting as much as the main bootcamp!","I think it's really good, I don't think there's anything I'd recommend differently.",10,2021-12-08 14:22:33,Form,20982501,Promoter
CongratsForm476,,Kin + Carta,Associate Backend Engineer,37500,London,08/12/2021,0,08/12/2021,04/01/2022,0,Large variety I believe,MA Hiring Partner,,Thanks to Toby for talking me through how the github CV should look and regularly checking in with me. Thanks also to Ben for talking me through the interview process and giving me some very valuable pointers.,Very happy with the support. Maybe some feedback if possible if an interview or application wasn't successful.,10,2021-12-08 13:53:50,Form,27062301,Promoter
CongratsForm475,,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2021-12-07 15:30:57,,,
CongratsForm474,,Code and Wander,Freelance Software Developer,65250,London,25/11/2021,4,25/11/2021,02/12/2021,4,"React.js, PHP, TypeScript, Next.js",Other,Listing on Makers Alumni Careers channel,Provided a warm and inspiring community,Interview jobgetters about their interview experience and keep records on how individual companies do it.,7,2021-12-06 15:02:17,Form,,Passive
CongratsForm473,,Flutter,Graduate Developer,34000,London,29/11/2021,8,29/11/2021,06/12/2021,8,"Java, KX",MA Hiring Partner,,Continually provide support,Increase number of partnerships,8,2021-12-02 15:34:35,Form,14296451,Passive
CongratsForm472,,Thoughtworks,Graduate Consultant Developer,32000,"Newcastle, England",12/11/2021,19,26/11/2021,31/01/2022,19,Various,Personal contact/referral,,"Personally I found some of the sessions with Ben incredibly helpful. Also enjoyed regular catchups with Toby, Candida and Becks. You guys rock! 💛",The partnerships team I feel could make more of an effort to write consistent and good feedback - and without having to be chased up. In my experience the quality of the feedback varied considerably depending on who wrote it.,5,2021-12-01 17:19:36,Form,,Detractor
CongratsForm471,,capgemini,software developer,30500,London,24/09/2021,3,27/09/2021,15/11/2021,3,"Java, Springboot, React, Node",MA Hiring Partner,,The interview support from Ben and Ryan is really good,N/A,7,2021-11-19 14:06:20,Form,28039501,Passive
CongratsForm470,,Futurice,Junior Fullstack Developer,32000,Remote - one team day a month in London,15/11/2021,1,17/11/2021,24/11/2021,1,"typescript, javascript, NextJS, ReactJS, NodeJS but loads more as it is a consultancy so can change for each project.",MA Hiring Partner,,"Everything really helped! Quick responses to interview alerts really helped a lot, coaching sessions to help improve my CV and applications.",Honestly can't think of anything,10,2021-11-17 11:13:46,Form,30920801,Promoter
CongratsForm469,,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2021-11-12 09:45:26,,,
CongratsForm468,,Eigen Technologies,Software Engineer,45000,London,10/11/2021,4,11/11/2021,15/11/2021,6,"Python (Django, Flask, Dagster, Airflow, Tensorflow)",Personal contact/referral,,"Pre interview prep, one job wednesday is AMAZING. Wellbeing support from Candida",Maybe another careers coach so folks,10,2021-11-11 11:33:31,Form,,Promoter
CongratsForm467,,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,*redacted*,,*redacted*,*redacted*,*redacted*,2021-11-10 17:05:59,,,
CongratsForm466,,Mumsnet,Junior Fullstack Developer,35,"London, UK",08/11/2021,3,08/11/2021,15/11/2021,3,TALL stack,MA Hiring Partner,,"Have them as a hiring partner, technical support and advice from Ben and Ryan, support from Candida and Katie","More workshops on consolidation. I could easily have sat through one a day covering things like mocking, SOLID principles etc.",10,2021-11-09 14:02:35,Form,21734201,Promoter
CongratsForm465,,Vvast,Developer,27000,Portsmouth,05/11/2021,1,08/11/2021,29/11/2021,1,"Liquid, Javascript, CSS",MA Hiring Partner,,1-2-1 coaching session support was excellent and greatly helped emotional well being during job hunt phase. Feedback was extremely honest and constructive from One Job Wednesdays.,"Everyone you speak to seems to have a differing view on what strategy is 'best' when applying or looking for jobs. Honestly though, I am not sure if this is a bad thing as it widens your horizons and makes you think about things from many different angles. It can just feel a bit daunting sometimes as there is no clear 'path to success' that everyone universally agrees on.",10,2021-11-08 12:27:13,Form,32186651,Promoter
CongratsForm464,,Doctor Care Anywhere,Developer,35000,Remote,15/08/2021,0,20/08/2021,25/10/2021,-4,".net, Android & iOS, min 3 months on each in the first year.",Personal contact/referral,,N/A,Unsure.,5,2021-11-02 13:49:52,Form,33730701,Detractor
CongratsForm463,,Rightmove,Graduate Software Engineer,35000,"London, UK",01/10/2021,1,01/10/2021,02/11/2021,1,"React.js, Java",MA Hiring Partner,,Career coaching with Candida and tech coaching from Ryan were both incredible. Wouldn’t have had the confidence to apply let alone excel at interview had it not been for sessions with Candida and all of her advice and perspective. Communicating between Rightmove and myself. Rapid turnaround from application to interview and quick availability of support pre interview.,"More info on how to use the Makers alum network, maybe more regular events / guidance on how to network etc.",10,2021-11-01 23:19:45,Form,27716801,Promoter
CongratsForm462,,365 Business Finance,Junior Developer,40000,London,22/10/2021,3,22/10/2021,08/11/2021,3,Salesforce Developer,MA Hiring Partner,,Great support on each stage post graduation,Will be interesting to have a couple of lesson on how to create a better application in order to be filtered from hiring partners (jh-appliers style ),10,2021-10-29 10:35:02,Form,13681401,Promoter
CongratsForm461,,Preventive Care LTD,Junior developer,850,London,27/10/2021,250,28/10/2021,01/11/2021,250,"wordpress, angular, docker, java",Other,referred via government kickstart scheme,the coached are always there to answer any question you have.,"have the slackbot remind people who haven't taken a review in a while to do one, and remind them of the benefits.",10,2021-10-29 09:47:44,Form,18699451,Promoter
